1,-0.58,-11.49,0.57,-9.62,-5.89,6.68,-9.49
1,0.02,-10.24,0.57,-11.81,-5.52,3.70,-10.25
1,-0.26,-10.27,0.57,-12.17,-6.00,2.76,-10.37
1,-0.87,-12.05,0.57,-13.10,-6.14,4.02,-8.36
1,-0.92,-10.90,0.57,-9.05,-6.27,5.16,-11.12
1,-0.72,-10.97,0.57,-10.25,-6.03,5.64,-11.35
1,-1.24,-11.70,0.57,-12.05,-5.06,4.70,-10.32
1,-1.38,-11.55,0.57,-8.72,-7.09,7.16,-10.94
1,-0.91,-11.09,0.58,-0.79,-9.22,11.52,-9.01
1,-0.82,-12.07,0.57,-0.94,-7.34,14.45,-10.33
1,-1.03,-11.63,0.57,-0.35,-7.12,15.99,-8.78
1,-0.86,-12.43,0.57,-1.17,-7.01,16.12,-8.60
1,-0.80,-13.20,0.57,-0.19,-7.86,14.48,-6.32
1,-0.78,-12.15,0.57,0.44,-7.51,12.49,-6.30
1,-0.83,-11.99,0.57,-1.31,-7.21,16.58,-8.07
1,-0.90,-12.29,0.57,2.21,-8.26,13.36,-6.20
1,-0.66,-12.03,0.56,-1.15,-7.33,10.61,-10.42
1,-0.72,-11.18,0.56,-0.30,-7.72,10.52,-10.16
1,-0.35,-12.45,0.56,-1.48,-6.90,12.64,-9.71
1,0.07,-11.73,0.57,-0.49,-7.45,12.37,-4.97
1,0.07,-11.96,0.57,-2.97,-7.78,12.34,-10.30
1,0.25,-11.43,0.57,-1.59,-8.76,13.55,-9.84
1,-0.24,-11.09,0.57,0.31,-8.39,15.50,-7.39
1,0.13,-12.45,0.57,-2.62,-6.00,17.51,-5.03
1,0.12,-12.93,0.56,-5.36,-6.72,14.74,-8.64
1,0.35,-12.80,0.57,-2.64,-7.03,15.42,-7.51
1,0.22,-11.53,0.57,-1.04,-7.47,14.60,-8.49
1,0.23,-12.60,0.57,-15.15,-5.12,7.54,-7.01
1,0.44,-13.75,0.56,-16.22,-5.01,5.97,-8.51
1,0.06,-12.63,0.56,-14.61,-3.94,7.38,-5.44
1,0.27,-12.00,0.57,-14.30,-4.80,6.58,-4.37
1,0.20,-11.90,0.57,-16.26,-4.75,4.34,-6.07
1,0.34,-12.45,0.57,-15.95,-4.99,6.81,-3.38
1,0.11,-12.83,0.57,-16.10,-5.70,7.84,-2.49
1,-0.10,-12.14,0.57,-13.43,-4.97,8.25,-2.62
1,0.41,-12.05,0.57,-18.00,-5.45,3.65,-3.23
1,0.34,-9.66,0.57,-15.83,-4.28,5.86,-3.01
1,0.19,-11.57,0.57,-18.61,-4.66,4.77,-3.20
1,-0.30,-12.13,0.57,-18.56,-4.66,7.02,-2.51
1,-0.48,-11.02,0.57,-18.41,-4.41,5.92,-2.00
1,-1.56,-10.73,0.57,-15.54,-5.39,6.16,-0.96
1,-1.98,-11.12,0.57,-16.86,-4.00,9.30,-1.33
1,-2.09,-9.33,0.57,-13.70,-4.09,8.42,0.07
